Prompt,Ground-truth,PolyNC_prediction
Predict the Tg of the following SMILES: c1cc(C*)cc(C#N)c1C*,89.85,149.85
Predict the Tg of the following SMILES: O([Si](C)(C)c1ccc([Si](C)(C)*)cc1)[Si](O*)(c1ccccc1)c1ccccc1,-0.15,-6.3
Predict the Tg of the following SMILES: [Si](c1ccc([Si](C)(*)C)cc1)(C)(C)O[Si](O*)(c1ccccc1)c1ccccc1,-0.15,-6.3
Predict the Tg of the following SMILES: C[Si](O[Si](c1ccccc1)(O*)c1ccccc1)(c1ccc([Si](C)(C)*)cc1)C,-0.15,-78.15
Predict the Tg of the following SMILES: O([Si](c1ccccc1)(c1ccccc1)O[Si](c1ccc([Si](*)(C)C)cc1)(C)C)*,-0.15,-6.3
Predict the Tg of the following SMILES: c1cccc([Si](O*)(c2ccccc2)O[Si](c2ccc([Si](C)(C)*)cc2)(C)C)c1,-0.15,-78.15
Predict the Tg of the following SMILES: c1([Si](C)(C)*)ccc([Si](O[Si](c2ccccc2)(c2ccccc2)O*)(C)C)cc1,-0.15,-78.15
Predict the Tg of the following SMILES: O([Si](c1ccccc1)(O*)c1ccccc1)[Si](C)(C)c1ccc([Si](C)(*)C)cc1,-0.15,-6.3
Predict the Tg of the following SMILES: c1c([Si](C)(C)O[Si](O*)(c2ccccc2)c2ccccc2)ccc([Si](C)(C)*)c1,-0.15,-78.15
Predict the Tg of the following SMILES: *O[Si](c1ccccc1)(O[Si](C)(C)c1ccc([Si](C)(*)C)cc1)c1ccccc1,-0.15,-78.15
Predict the Tg of the following SMILES: C(C(CC(C)C)*)*,28.85,-45.15
Predict the Tg of the following SMILES: CC(C)CC(*)C*,28.85,-55.15
Predict the Tg of the following SMILES: C(C)(C)CC(C*)*,28.85,-65.15
Predict the Tg of the following SMILES: *CC(*)CC(C)C,28.85,-45.15
Predict the Tg of the following SMILES: C(CC(C)C)(*)C*,28.85,-45.15
Predict the Tg of the following SMILES: *CC(CC(C)C)*,28.85,-45.15
Predict the Tg of the following SMILES: CC(CC(*)C*)C,28.85,-55.15
Predict the Tg of the following SMILES: *CC(CC(C)C)*,28.85,-45.15
Predict the Tg of the following SMILES: CC(CC(*)C*)C,28.85,-55.15
Predict the Tg of the following SMILES: *C(CC(C)C)C*,28.85,-45.15
Predict the Tg of the following SMILES: c1(C)c(C(*)C*)cc(C)cc1,142.85,119.85
Predict the Tg of the following SMILES: *CC(*)c1c(C)ccc(C)c1,142.85,118.85
Predict the Tg of the following SMILES: c1(C)cc(C(C*)*)c(C)cc1,142.85,119.85
Predict the Tg of the following SMILES: Cc1ccc(C)cc1C(C*)*,142.85,104.85
Predict the Tg of the following SMILES: *CC(*)c1c(C)ccc(C)c1,142.85,118.85
Predict the Tg of the following SMILES: Cc1ccc(C)cc1C(*)C*,142.85,104.85
Predict the Tg of the following SMILES: *CC(*)c1c(C)ccc(C)c1,142.85,118.85
Predict the Tg of the following SMILES: *CC(c1c(C)ccc(C)c1)*,142.85,118.85
Predict the Tg of the following SMILES: c1cc(C)cc(C(C*)*)c1C,142.85,119.85
Predict the Tg of the following SMILES: c1c(C)cc(C(C*)*)c(C)c1,142.85,119.85
Predict the Tg of the following SMILES: CCCCC(CC)COC(C*)*,-66.15,-65.15
Predict the Tg of the following SMILES: C(C)C(CCCC)COC(*)C*,-66.15,-65.15
Predict the Tg of the following SMILES: CCC(CCCC)COC(*)C*,-66.15,-65.15
Predict the Tg of the following SMILES: *CC(OCC(CC)CCCC)*,-66.15,-65.15
Predict the Tg of the following SMILES: *CC(OCC(CC)CCCC)*,-66.15,-65.15
Predict the Tg of the following SMILES: C(CC)(COC(*)C*)CCCC,-66.15,-65.15
Predict the Tg of the following SMILES: O(CC(CCCC)CC)C(*)C*,-66.15,-45.15
Predict the Tg of the following SMILES: C(C*)(*)OCC(CC)CCCC,-66.15,-65.15
Predict the Tg of the following SMILES: C(CC(COC(*)C*)CC)CC,-66.15,-65.15
Predict the Tg of the following SMILES: C(COC(C*)*)(CCCC)CC,-66.15,-65.15
Predict the Tg of the following SMILES: C(CC)CCCCCOC(*)C*,-79.15,-55.15
Predict the Tg of the following SMILES: C(*)C(*)OCCCCCCCC,-79.15,-54.15
Predict the Tg of the following SMILES: O(C(*)C*)CCCCCCCC,-79.15,-56.15
Predict the Tg of the following SMILES: C(COC(C*)*)CCCCCC,-79.15,-65.15
Predict the Tg of the following SMILES: C(CCOC(C*)*)CCCCC,-79.15,-65.15
Predict the Tg of the following SMILES: C(CCCCCCC)OC(C*)*,-79.15,-65.15
Predict the Tg of the following SMILES: C(CCOC(*)C*)CCCCC,-79.15,-65.15
Predict the Tg of the following SMILES: O(C(*)C*)CCCCCCCC,-79.15,-56.15
Predict the Tg of the following SMILES: C(*)C(OCCCCCCCC)*,-79.15,-65.15
Predict the Tg of the following SMILES: C(C(*)OCCCCCCCC)*,-79.15,-65.15
Predict the Tg of the following SMILES: C(*)C(*)(C(=O)OCCCCCCCC)C,-20.15,-45.15
Predict the Tg of the following SMILES: C(CCCC)CCCOC(=O)C(C)(C*)*,-20.15,-65.15
Predict the Tg of the following SMILES: *CC(C(=O)OCCCCCCCC)(C)*,-20.15,-45.15
Predict the Tg of the following SMILES: O=C(C(C*)(C)*)OCCCCCCCC,-20.15,-65.15
Predict the Tg of the following SMILES: *CC(C(OCCCCCCCC)=O)(*)C,-20.15,-65.15
Predict the Tg of the following SMILES: C(C*)(C(=O)OCCCCCCCC)(C)*,-20.15,-45.15
Predict the Tg of the following SMILES: *C(C*)(C)C(=O)OCCCCCCCC,-20.15,-45.15
Predict the Tg of the following SMILES: *CC(C(=O)OCCCCCCCC)(C)*,-20.15,-45.15
Predict the Tg of the following SMILES: C(CCCOC(=O)C(C*)(*)C)CCCC,-20.15,-65.15
Predict the Tg of the following SMILES: C(CCCC)CCCOC(C(C*)(*)C)=O,-20.15,-65.15
Predict the Tg of the following SMILES: C(=O)(C(C*)*)OC,7.85,-65.15
Predict the Tg of the following SMILES: C(OC)(C(*)C*)=O,7.85,-65.15
Predict the Tg of the following SMILES: C(C*)(C(OC)=O)*,7.85,-65.15
Predict the Tg of the following SMILES: C(OC)(=O)C(*)C*,7.85,-65.15
Predict the Tg of the following SMILES: C(C(=O)OC)(*)C*,7.85,-65.15
Predict the Tg of the following SMILES: C(*)C(C(OC)=O)*,7.85,-65.15
Predict the Tg of the following SMILES: COC(=O)C(C*)*,7.85,-45.15
Predict the Tg of the following SMILES: O=C(OC)C(C*)*,7.85,-74.15
Predict the Tg of the following SMILES: C(OC)(=O)C(*)C*,7.85,-65.15
Predict the Tg of the following SMILES: C(C*)(C(OC)=O)*,7.85,-65.15
Predict the Tg of the following SMILES: c1(C(F)(F)*)ccc(C(*)(F)F)cc1,89.85,121.85
Predict the Tg of the following SMILES: c1cc(C(F)(*)F)ccc1C(F)(F)*,89.85,107.85
Predict the Tg of the following SMILES: FC(F)(*)c1ccc(C(F)(*)F)cc1,89.85,121.85
Predict the Tg of the following SMILES: FC(c1ccc(C(F)(*)F)cc1)(F)*,89.85,121.85
Predict the Tg of the following SMILES: c1c(C(F)(F)*)ccc(C(*)(F)F)c1,89.85,121.85
Predict the Tg of the following SMILES: FC(c1ccc(C(*)(F)F)cc1)(*)F,89.85,121.85
Predict the Tg of the following SMILES: FC(*)(c1ccc(C(F)(F)*)cc1)F,89.85,121.85
Predict the Tg of the following SMILES: C(*)(F)(c1ccc(C(F)(F)*)cc1)F,89.85,121.85
Predict the Tg of the following SMILES: c1cc(C(F)(F)*)ccc1C(F)(*)F,89.85,107.85
Predict the Tg of the following SMILES: c1c(C(*)(F)F)ccc(C(F)(*)F)c1,89.85,121.85
Predict the Tg of the following SMILES: c1c(NC(=O)CCCC(=O)Nc2cc(*)ccc2)cccc1OCC(O)CO*,110.85,69.85
Predict the Tg of the following SMILES: C(CCCC(=O)Nc1cc(*)ccc1)(=O)Nc1cc(OCC(O)CO*)ccc1,110.85,57.85
Predict the Tg of the following SMILES: c1(*)cccc(NC(=O)CCCC(Nc2cccc(OCC(O)CO*)c2)=O)c1,110.85,57.85
Predict the Tg of the following SMILES: c1c(NC(=O)CCCC(Nc2cc(OCC(O)CO*)ccc2)=O)cccc1*,110.85,57.85
Predict the Tg of the following SMILES: c1ccc(*)cc1NC(=O)CCCC(=O)Nc1cccc(OCC(O)CO*)c1,110.85,63.85
Predict the Tg of the following SMILES: c1c(NC(CCCC(=O)Nc2cc(*)ccc2)=O)cc(OCC(CO*)O)cc1,110.85,69.85
Predict the Tg of the following SMILES: c1(NC(CCCC(Nc2cc(*)ccc2)=O)=O)cccc(OCC(O)CO*)c1,110.85,57.85
Predict the Tg of the following SMILES: c1(NC(=O)CCCC(=O)Nc2cccc(*)c2)cc(OCC(CO*)O)ccc1,110.85,63.85
Predict the Tg of the following SMILES: O=C(Nc1cc(*)ccc1)CCCC(Nc1cc(OCC(CO*)O)ccc1)=O,110.85,69.85
Predict the Tg of the following SMILES: N(c1cc(*)ccc1)C(CCCC(Nc1cccc(OCC(O)CO*)c1)=O)=O,110.85,147.85
Predict the Tg of the following SMILES: c1cc(C(C)(C)C)cc(C(*)C*)c1C,86.85,119.85
Predict the Tg of the following SMILES: Cc1ccc(C(C)(C)C)cc1C(C*)*,86.85,149.85
Predict the Tg of the following SMILES: C(C(c1c(C)ccc(C(C)(C)C)c1)*)*,86.85,119.85
Predict the Tg of the following SMILES: C(*)C(c1cc(C(C)(C)C)ccc1C)*,86.85,119.85
Predict the Tg of the following SMILES: *CC(c1cc(C(C)(C)C)ccc1C)*,86.85,119.85
Predict the Tg of the following SMILES: C(C)(c1cc(C(C*)*)c(C)cc1)(C)C,86.85,119.85
Predict the Tg of the following SMILES: C(c1c(C)ccc(C(C)(C)C)c1)(C*)*,86.85,119.85
Predict the Tg of the following SMILES: CC(C)(C)c1cc(C(*)C*)c(C)cc1,86.85,119.85
Predict the Tg of the following SMILES: c1cc(C(C)(C)C)cc(C(C*)*)c1C,86.85,119.85
Predict the Tg of the following SMILES: *CC(*)c1cc(C(C)(C)C)ccc1C,86.85,119.85
Predict the Tg of the following SMILES: CC(COC(C*)*)C,-22.15,-65.15
Predict the Tg of the following SMILES: *C(OCC(C)C)C*,-22.15,-65.15
Predict the Tg of the following SMILES: C(*)C(*)OCC(C)C,-22.15,-65.15
Predict the Tg of the following SMILES: CC(C)COC(C*)*,-22.15,-65.15
Predict the Tg of the following SMILES: O(CC(C)C)C(*)C*,-22.15,-45.15
Predict the Tg of the following SMILES: CC(COC(*)C*)C,-22.15,-65.15
Predict the Tg of the following SMILES: C(*)C(OCC(C)C)*,-22.15,-65.15
Predict the Tg of the following SMILES: C(OC(*)C*)C(C)C,-22.15,-45.15
Predict the Tg of the following SMILES: C(OC(C*)*)C(C)C,-22.15,-45.15
Predict the Tg of the following SMILES: *CC(*)OCC(C)C,-22.15,-65.15
Predict the Tg of the following SMILES: ClC(*)C*,74.85,-74.15
Predict the Tg of the following SMILES: *CC(Cl)*,74.85,-45.15
Predict the Tg of the following SMILES: ClC(*)C*,74.85,-74.15
Predict the Tg of the following SMILES: *C(Cl)C*,74.85,-74.15
Predict the Tg of the following SMILES: ClC(*)C*,74.85,-74.15
Predict the Tg of the following SMILES: C(C*)(*)Cl,74.85,-74.15
Predict the Tg of the following SMILES: C(*)C(*)Cl,74.85,-74.15
Predict the Tg of the following SMILES: *C(Cl)C*,74.85,-74.15
Predict the Tg of the following SMILES: C(Cl)(C*)*,74.85,-74.15
Predict the Tg of the following SMILES: C(*)C(Cl)*,74.85,-65.15
Predict the Tg of the following SMILES: C(CCC(=O)NCc1ccc(CN*)cc1)CCCCCC(*)=O,114.85,59.85
Predict the Tg of the following SMILES: C(CCCCCCCC(NCc1ccc(CN*)cc1)=O)C(*)=O,114.85,81.85
Predict the Tg of the following SMILES: C(CCCCCC(=O)*)CCC(=O)NCc1ccc(CN*)cc1,114.85,59.85
Predict the Tg of the following SMILES: C(CCCCCC(*)=O)CCC(=O)NCc1ccc(CN*)cc1,114.85,59.85
Predict the Tg of the following SMILES: C(CCCCCC(*)=O)CCC(NCc1ccc(CN*)cc1)=O,114.85,59.85
Predict the Tg of the following SMILES: N(C(CCCCCCCCC(*)=O)=O)Cc1ccc(CN*)cc1,114.85,57.85
Predict the Tg of the following SMILES: c1cc(CN*)ccc1CNC(CCCCCCCCC(=O)*)=O,114.85,87.84
Predict the Tg of the following SMILES: c1c(CNC(=O)CCCCCCCCC(*)=O)ccc(CN*)c1,114.85,87.85
Predict the Tg of the following SMILES: C(CCCCCCCC(=O)*)C(NCc1ccc(CN*)cc1)=O,114.85,79.85
Predict the Tg of the following SMILES: C(CCC(*)=O)CCCCCC(=O)NCc1ccc(CN*)cc1,114.85,63.85
Predict the Tg of the following SMILES: C(CCN1C(=O)c2c(cc(*)cc2)C1=O)CCCN1C(=O)c2cc(Oc3ccc(Oc4ccc(O*)cc4)cc3)ccc2C1=O,127.85,215
Predict the Tg of the following SMILES: O(c1ccc(Oc2ccc(Oc3cc4c(cc3)C(=O)N(CCCCCCN3C(=O)c5ccc(*)cc5C3=O)C4=O)cc2)cc1)*,127.85,215
Predict the Tg of the following SMILES: c1c(Oc2ccc(O*)cc2)ccc(Oc2cc3c(cc2)C(=O)N(CCCCCCN2C(=O)c4c(cc(*)cc4)C2=O)C3=O)c1,127.85,215
Predict the Tg of the following SMILES: c1cc(Oc2ccc(O*)cc2)ccc1Oc1ccc2c(c1)C(=O)N(CCCCCCN1C(=O)c3c(cc(*)cc3)C1=O)C2=O,127.85,215
Predict the Tg of the following SMILES: c1cc(Oc2ccc(O*)cc2)ccc1Oc1ccc2c(c1)C(=O)N(CCCCCCN1C(=O)c3ccc(*)cc3C1=O)C2=O,127.85,215
Predict the Tg of the following SMILES: c1cc(Oc2ccc(Oc3ccc(O*)cc3)cc2)cc2c1C(=O)N(CCCCCCN1C(=O)c3ccc(*)cc3C1=O)C2=O,127.85,215
Predict the Tg of the following SMILES: c1c(O*)ccc(Oc2ccc(Oc3cc4c(cc3)C(=O)N(CCCCCCN3C(=O)c5c(ccc(*)c5)C3=O)C4=O)cc2)c1,127.85,215
Predict the Tg of the following SMILES: c1(O*)ccc(Oc2ccc(Oc3ccc4c(c3)C(=O)N(CCCCCCN3C(=O)c5c(ccc(*)c5)C3=O)C4=O)cc2)cc1,127.85,215
Predict the Tg of the following SMILES: c1cc(*)cc2c1C(=O)N(CCCCCCN1C(=O)c3c(ccc(Oc4ccc(Oc5ccc(O*)cc5)cc4)c3)C1=O)C2=O,127.85,215
Predict the Tg of the following SMILES: c1cc(Oc2ccc(Oc3cc4c(cc3)C(=O)N(CCCCCCN3C(=O)c5c(cc(*)cc5)C3=O)C4=O)cc2)ccc1O*,127.85,215
Predict the Tg of the following SMILES: c12cc(Oc3ccc4c(c(-c5ccccc5)cc(-c5ccc(Oc6ccc(*)cc6)cc5)n4)c3)ccc1nc(*)cc2-c1ccccc1,265.85,307.85
Predict the Tg of the following SMILES: n1c(-c2ccc(Oc3ccc(*)cc3)cc2)cc(-c2ccccc2)c2cc(Oc3cc4c(nc(*)cc4-c4ccccc4)cc3)ccc12,265.85,307.85
Predict the Tg of the following SMILES: c1c(-c2cc(-c3ccc(Oc4ccc(*)cc4)cc3)nc3ccc(Oc4ccc5c(c(-c6ccccc6)cc(*)n5)c4)cc32)cccc1,265.85,304.85
Predict the Tg of the following SMILES: c1cc2nc(-c3ccc(Oc4ccc(*)cc4)cc3)cc(-c3ccccc3)c2cc1Oc1ccc2c(c1)c(-c1ccccc1)cc(*)n2,265.85,307.85
Predict the Tg of the following SMILES: c1c(-c2nc3ccc(Oc4cc5c(-c6ccccc6)cc(*)nc5cc4)cc3c(-c3ccccc3)c2)ccc(Oc2ccc(*)cc2)c1,265.85,344.85
Predict the Tg of the following SMILES: c1c(-c2nc3c(cc(Oc4cc5c(-c6ccccc6)cc(*)nc5cc4)cc3)c(-c3ccccc3)c2)ccc(Oc2ccc(*)cc2)c1,265.85,344.85
Predict the Tg of the following SMILES: c1c(*)nc2ccc(Oc3cc4c(cc3)nc(-c3ccc(Oc5ccc(*)cc5)cc3)cc4-c3ccccc3)cc2c1-c1ccccc1,265.85,307.85
Predict the Tg of the following SMILES: *c1cc(-c2ccccc2)c2cc(Oc3cc4c(cc3)nc(-c3ccc(Oc5ccc(*)cc5)cc3)cc4-c3ccccc3)ccc2n1,265.85,307.85
Predict the Tg of the following SMILES: c1c(Oc2ccc(*)cc2)ccc(-c2nc3c(cc(Oc4cc5c(cc4)nc(*)cc5-c4ccccc4)cc3)c(-c3ccccc3)c2)c1,265.85,307.85
Predict the Tg of the following SMILES: c1ccccc1-c1cc(-c2ccc(Oc3ccc(*)cc3)cc2)nc2c1cc(Oc1ccc3nc(*)cc(-c4ccccc4)c3c1)cc2,265.85,307.85
Predict the Tg of the following SMILES: O=S(=O)(c1ccc(O*)cc1)c1ccc(Oc2ccc(C(C)(c3ccc(*)cc3)C)cc2)cc1,184.85,214.85
Predict the Tg of the following SMILES: C(c1ccc(*)cc1)(c1ccc(Oc2ccc(S(c3ccc(O*)cc3)(=O)=O)cc2)cc1)(C)C,184.85,214.85
Predict the Tg of the following SMILES: c1c(C(c2ccc(*)cc2)(C)C)ccc(Oc2ccc(S(=O)(c3ccc(O*)cc3)=O)cc2)c1,184.85,214.85
Predict the Tg of the following SMILES: *c1ccc(C(C)(c2ccc(Oc3ccc(S(=O)(=O)c4ccc(O*)cc4)cc3)cc2)C)cc1,184.85,214.85
Predict the Tg of the following SMILES: O(c1ccc(C(C)(C)c2ccc(*)cc2)cc1)c1ccc(S(=O)(c2ccc(O*)cc2)=O)cc1,184.85,167.85
Predict the Tg of the following SMILES: c1(*)ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(O*)cc4)cc3)cc2)cc1,184.85,167.85
Predict the Tg of the following SMILES: c1(Oc2ccc(C(c3ccc(*)cc3)(C)C)cc2)ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,184.85,167.85
Predict the Tg of the following SMILES: c1c(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)ccc(O*)c1,184.85,167.85
Predict the Tg of the following SMILES: c1c(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)ccc(O*)c1,184.85,167.85
Predict the Tg of the following SMILES: c1c(Oc2ccc(C(C)(c3ccc(*)cc3)C)cc2)ccc(S(=O)(c2ccc(O*)cc2)=O)c1,184.85,167.85
Predict the Tg of the following SMILES: *CC(OCCCC)*,-52.15,-65.15
Predict the Tg of the following SMILES: C(CCC)OC(C*)*,-52.15,-65.15
Predict the Tg of the following SMILES: C(OC(C*)*)CCC,-52.15,-65.15
Predict the Tg of the following SMILES: O(CCCC)C(C*)*,-52.15,-45.15
Predict the Tg of the following SMILES: C(*)(C*)OCCCC,-52.15,-45.15
Predict the Tg of the following SMILES: O(CCCC)C(C*)*,-52.15,-45.15
Predict the Tg of the following SMILES: O(CCCC)C(*)C*,-52.15,-45.15
Predict the Tg of the following SMILES: C(C*)(OCCCC)*,-52.15,-65.15
Predict the Tg of the following SMILES: C(C)CCOC(C*)*,-52.15,-65.15
Predict the Tg of the following SMILES: C(C*)(*)OCCCC,-52.15,-45.15
Predict the Tg of the following SMILES: C(CCCCOCC(O*)C*)C,-85.15,-65.15
Predict the Tg of the following SMILES: *OC(C*)COCCCCCC,-85.15,-78.15
Predict the Tg of the following SMILES: C(C*)(O*)COCCCCCC,-85.15,-65.15
Predict the Tg of the following SMILES: C(OCCCCCC)C(O*)C*,-85.15,-65.15
Predict the Tg of the following SMILES: C(CCOCC(O*)C*)CCC,-85.15,-65.15
Predict the Tg of the following SMILES: *CC(COCCCCCC)O*,-85.15,-65.15
Predict the Tg of the following SMILES: C(CCCCOCC(C*)O*)C,-85.15,-65.15
Predict the Tg of the following SMILES: *OC(C*)COCCCCCC,-85.15,-78.15
Predict the Tg of the following SMILES: C(OCCCCCC)C(C*)O*,-85.15,-65.15
Predict the Tg of the following SMILES: C(CCCOCC(O*)C*)CC,-85.15,-65.15
Predict the Tg of the following SMILES: c1(*)ccc(C(C(C)C)c2ccc(OC(O*)=O)cc2)cc1,148.85,145.85
Predict the Tg of the following SMILES: *OC(Oc1ccc(C(C(C)C)c2ccc(*)cc2)cc1)=O,148.85,145.85
Predict the Tg of the following SMILES: CC(C(c1ccc(*)cc1)c1ccc(OC(=O)O*)cc1)C,148.85,145.85
Predict the Tg of the following SMILES: O=C(O*)Oc1ccc(C(c2ccc(*)cc2)C(C)C)cc1,148.85,145.85
Predict the Tg of the following SMILES: *c1ccc(C(C(C)C)c2ccc(OC(=O)O*)cc2)cc1,148.85,145.85
Predict the Tg of the following SMILES: c1(C(c2ccc(*)cc2)C(C)C)ccc(OC(=O)O*)cc1,148.85,145.85
Predict the Tg of the following SMILES: O(*)C(=O)Oc1ccc(C(c2ccc(*)cc2)C(C)C)cc1,148.85,145.85
Predict the Tg of the following SMILES: c1cc(C(c2ccc(*)cc2)C(C)C)ccc1OC(O*)=O,148.85,145.85
Predict the Tg of the following SMILES: *OC(=O)Oc1ccc(C(C(C)C)c2ccc(*)cc2)cc1,148.85,145.85
Predict the Tg of the following SMILES: O=C(Oc1ccc(C(c2ccc(*)cc2)C(C)C)cc1)O*,148.85,145.85
Predict the Tg of the following SMILES: C(C)C(C)(c1c(Cl)cc(OC(=O)O*)cc1)c1ccc(*)cc1Cl,141.85,145.85
Predict the Tg of the following SMILES: Clc1c(C(C)(c2ccc(OC(O*)=O)cc2Cl)CC)ccc(*)c1,141.85,145.85
Predict the Tg of the following SMILES: c1(*)ccc(C(CC)(c2c(Cl)cc(OC(O*)=O)cc2)C)c(Cl)c1,141.85,145.85
Predict the Tg of the following SMILES: CCC(c1ccc(*)cc1Cl)(C)c1ccc(OC(=O)O*)cc1Cl,141.85,134.85
Predict the Tg of the following SMILES: C(C(c1ccc(OC(=O)O*)cc1Cl)(C)c1ccc(*)cc1Cl)C,141.85,145.85
Predict the Tg of the following SMILES: C(C)C(c1c(Cl)cc(OC(O*)=O)cc1)(c1ccc(*)cc1Cl)C,141.85,145.85
Predict the Tg of the following SMILES: O=C(Oc1ccc(C(c2c(Cl)cc(*)cc2)(C)CC)c(Cl)c1)O*,141.85,119.85
Predict the Tg of the following SMILES: c1(C(C)(CC)c2c(Cl)cc(OC(O*)=O)cc2)ccc(*)cc1Cl,141.85,145.85
Predict the Tg of the following SMILES: *c1ccc(C(C)(CC)c2c(Cl)cc(OC(=O)O*)cc2)c(Cl)c1,141.85,145.85
Predict the Tg of the following SMILES: c1cc(*)cc(Cl)c1C(CC)(C)c1c(Cl)cc(OC(=O)O*)cc1,141.85,145.85
Predict the Tg of the following SMILES: c1c(CNC(CCCCC(*)=O)=O)cc(CN*)cc1,89.85,73.85
Predict the Tg of the following SMILES: c1(CN*)cccc(CNC(CCCCC(*)=O)=O)c1,89.85,57.85
Predict the Tg of the following SMILES: c1ccc(CN*)cc1CNC(CCCCC(*)=O)=O,89.85,69.85
Predict the Tg of the following SMILES: N(C(CCCCC(*)=O)=O)Cc1cc(CN*)ccc1,89.85,59.85
Predict the Tg of the following SMILES: C(CCC(NCc1cc(CN*)ccc1)=O)CC(*)=O,89.85,59.85
Predict the Tg of the following SMILES: C(C(NCc1cccc(CN*)c1)=O)CCCC(=O)*,89.85,59.85
Predict the Tg of the following SMILES: *NCc1cccc(CNC(CCCCC(=O)*)=O)c1,89.85,59.85
Predict the Tg of the following SMILES: C(*)(CCCCC(=O)NCc1cccc(CN*)c1)=O,89.85,59.85
Predict the Tg of the following SMILES: C(CC(*)=O)CCC(=O)NCc1cccc(CN*)c1,89.85,59.85
Predict the Tg of the following SMILES: C(N*)c1cc(CNC(CCCCC(*)=O)=O)ccc1,89.85,69.85
Predict the Tg of the following SMILES: c1(-c2nc3c(ccc(C(c4cc5c(ncc(*)n5)cc4)=O)c3)nc2)ccc(*)cc1,317.85,304.85
Predict the Tg of the following SMILES: n1c2c(ncc1-c1ccc(*)cc1)ccc(C(c1ccc3ncc(*)nc3c1)=O)c2,317.85,399.85
Predict the Tg of the following SMILES: c1c(C(c2ccc3c(nc(*)cn3)c2)=O)ccc2ncc(-c3ccc(*)cc3)nc12,317.85,399.85
Predict the Tg of the following SMILES: *c1ccc(-c2nc3c(nc2)ccc(C(c2cc4c(cc2)ncc(*)n4)=O)c3)cc1,317.85,304.85
Predict the Tg of the following SMILES: n1c2ccc(C(=O)c3ccc4c(nc(*)cn4)c3)cc2nc(-c2ccc(*)cc2)c1,317.85,399.85
Predict the Tg of the following SMILES: c1nc2c(nc1-c1ccc(*)cc1)cc(C(c1ccc3c(nc(*)cn3)c1)=O)cc2,317.85,311.85
Predict the Tg of the following SMILES: c1c(C(c2cc3c(cc2)ncc(-c2ccc(*)cc2)n3)=O)cc2nc(*)cnc2c1,317.85,399.85
Predict the Tg of the following SMILES: c1cc(*)ccc1-c1nc2cc(C(c3ccc4c(nc(*)cn4)c3)=O)ccc2nc1,317.85,399.85
Predict the Tg of the following SMILES: c12nc(-c3ccc(*)cc3)cnc1ccc(C(=O)c1ccc3c(nc(*)cn3)c1)c2,317.85,311.85
